model,polyrhythms,dynamics,seventh_chords,mode_mixture,secondary_dominants
wav2vec2-large,2578.316720653795,540.7079947013841,12159.225016742404,3746.700383053808,6675.0559461686025
wav2vec2-base,4494.320097954457,857.2108519717342,13514.534334494501,3833.7268269488436,7569.026411292273
MERT-v1-330M,361.095102391322,175.49859969557053,3522.750977970275,483.16256652279657,2064.525730885799
MERT-v1-95M,432.769153969968,334.868793940479,8843.25068832285,2169.997023243282,4301.633716729273
jukebox,127.84918985797681,88.12045650216022,1653.775682813609,344.60286216735426,1515.6112948017833
musicgen-large,906.9867745306454,258.0732870243407,6500.487686008867,2368.686786496188,6416.362110743479
musicgen-medium,1975.70275323136,334.6217179391291,9735.670474596998,2825.1763028249784,6601.035867920028
musicgen-small,4222.843778727966,503.21608387959566,7609.237987450911,1888.83766961157,5072.560336123916
musicgen-audio,14288.798698462713,5528.75676200666,20634.147646370304,4134.367129666227,8829.255218933122
baseline-mel,15806.343211584153,2912.491563367518,16311.755040844397,2889.112500463767,8286.304531799979
baseline-mfcc,22957.17174338898,2433.6341879931483,20263.618559257633,3917.3649389136262,8701.496446419551
baseline-chroma,26050.413156195613,7340.795988832403,22037.088504591353,3585.5068827629784,6893.124729958272
baseline-concat,8751.540832340297,1056.8662619984098,16274.042029355907,2294.656250117756,5865.399763288416
